,a,p,q,num_vol,rolling,distance_threshold,retrace_threshold,offset_threshold,duration,average_holding_duration,profit,return,max_drawDown,caimar_ratio,trade_times,win_rate,profit_factor,sharp_ratio
53,0.1,1,1,1,20,0.03,0.01,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
54,0.1,1,1,1,20,0.03,0.01,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
55,0.1,1,1,1,20,0.03,0.01,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
56,0.1,1,1,1,20,0.03,0.03,0.01,361,6.3478260869565215,97646.484375,0.09764648437500001,0.25496513152766387,0.38297975801606937,23,0.43478260869565216,1.1904710398940537,0.02442084222075741
57,0.1,1,1,1,20,0.03,0.03,0.025,361,12.0,-177371.6796875,-0.1773716796875,0.38975778269974126,-0.45508181634987976,14,0.35714285714285715,0.773528426853292,-0.029994573005601963
58,0.1,1,1,1,20,0.03,0.03,0.04,361,39.0,566206.4453125,0.5662064453125,0.15885199949331963,3.5643646105714346,6,0.6666666666666666,7.059828266793607,0.09621771462408751
59,0.1,1,1,1,20,0.03,0.03,0.05500000000000001,361,47.6,446937.890625,0.4469378906249999,0.19429483092409072,2.3003076741635735,5,0.8,5.6157020709241605,0.0748890873219947
60,0.1,1,1,1,20,0.03,0.03,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
61,0.1,1,1,1,20,0.03,0.03,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
62,0.1,1,1,1,20,0.03,0.03,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
63,0.1,1,1,1,20,0.03,0.049999999999999996,0.01,361,6.523809523809524,271898.2421875,0.2718982421875,0.1932456119594692,1.407008621983754,21,0.47619047619047616,1.708537270889641,0.060292711610836
64,0.1,1,1,1,20,0.03,0.049999999999999996,0.025,361,13.166666666666666,11340.4296875,0.011340429687499931,0.24976734812211576,0.04540397202742206,12,0.4166666666666667,1.0610930792391384,0.004982555656042217
65,0.1,1,1,1,20,0.03,0.049999999999999996,0.04,361,46.2,564262.109375,0.564262109375,0.1550695748417521,3.6387673723283713,5,0.6,5.80648912683611,0.09570829459570938
66,0.1,1,1,1,20,0.03,0.049999999999999996,0.05500000000000001,361,47.2,425600.1953125,0.42560019531249993,0.19036165660210613,2.2357453854380416,5,0.6,4.625341268111542,0.07126982773998278
67,0.1,1,1,1,20,0.03,0.049999999999999996,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
68,0.1,1,1,1,20,0.03,0.049999999999999996,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
69,0.1,1,1,1,20,0.03,0.049999999999999996,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
70,0.1,1,1,1,20,0.03,0.06999999999999999,0.01,361,6.3,193090.234375,0.19309023437500006,0.19232330433591482,1.0039877124705892,20,0.45,1.4569211428782711,0.04550345782641583
71,0.1,1,1,1,20,0.03,0.06999999999999999,0.025,361,13.363636363636363,-67467.578125,-0.06746757812500004,0.3082287118279592,-0.21888803844678076,11,0.45454545454545453,0.870816004224432,-0.010826532156675934
